lgas,year,general facility attendance,general outpatient attendance,antenatal attendance total, deliveries-assisted, caesarean section,deliveries complications,deliveries normal, preterm deliveries,pregnacy outcome-birth asphyxia,pregnacy outcome--neonatal-jaundice,pregnacy outcome—neonatal-sepsis,pregnacy outcome-neonatal-taetanus nhmis,pregnacy outcome-discharged newborns after kmc,pregnacy outcome-newborns placed on kmc,utilization facility attendance , ututilization outpatient attendance,beds,cost,incubators,total beds,condoms  distributed females,condoms  distributed male,family  planning  injections,oral pill cycle  (packets),persons given oral pills,sterilization total,iucd inserted,implant,female 15-49 yrs using mod contraceptives,fp clients counserlled,new fp acceptors,fp clients accessing hct services,functional beds,inpatient days – total ,inpatient discharges – total,inpatient admissions,antenatal total attendance,ancsyphilis case treated,anc syphilis test done,anc syphilis test positive,pregnant women  receiving llin,pregnant women receiving  hematinic,pregnant women who received malaria ipt1,women who received malaria ipt2,assisted,caesarean section,complications,preterm,hiv positive women,hiv positive women    (booked),hiv positive women   (unbooked),normal,deliveries by  skilled birth attendant,deliveries monitors partogran,live birth by hiv positive women,post natal visit total,hepatitis b2 ,hepatitis b vaccine 0  birth,hepatitis b vaccine 1 given ,bcg,oral polio vaccine 0 given,oral polio vaccine  1 given,oral polio vaccine  2 given,oral polio vaccine  3 given,pentavalent  vaccine 1 given,pnetavmococal vaccine (pcv) 2,pnetavmococal vaccine (pcv) 3,pnetavmococal vaccine (pcv) 2 ,pnetavmococal vaccine (pcv) 2.1,pnetavmococal vaccine (pcv) 2.2,yellow fever vaccine given,inactivated polio vaccine (ipv)n,conjugate a csm vaccine given,measles vaccine 1 given,measles vaccine 2 given,fully immunized children under 1 year,tetanue toxoid dose 1,tetanue toxoid dose 2,tetanue toxoid dose 1 3,tetanue toxoid dose 4,tetanue toxoid dose 5,children 0-59 months weighed,children 0-59 months weighed below bottomline,children 0-6 months  exclusivelly  breastfed,children 12-59 month given deworming medication,vitamin a children 12-59 months (200.000iu) ,"vitamin a children 6-11 months (100,000iu) ",art patients receiving arv refill ,hiv positive receiving cotrimoxazole  prophylaxis version 2013 ,hiv couples counseled tested & receiving results,hiv couples counseled tested & receiving results seroi,indiviuals hiv counseled tested and received  results,individuals tested hiv positive,pregnant women tested hiv positive,new arthritis,new cases of asthma,new cases of snake  bites,new coronary heart disease,new mdiabetes mellitus case,new home accident case,new hypertension case,new road  traffic accident case,new sickle cell disease case,anc women with previously known hiv status (at anc),pregnant women who received  hiv counseling  and testing and result (at anc),pregnant women who received  hiv counseling  and testing and result (at l&d),pregnant women who received  hiv counseling  and testing and result at pnc,pregnant hiv positive  women who received  arv prophylaxis for pmtct (total),pregnant hiv positive  women who received  arv prophylaxis for pmtct (total).1,growth     rate,pop,individual clinically screened  for tb,individuals clinically screened for tb score 1+ (tb  suspects),individuals started on tb treatment (hiv unknown),individuals started on tb treatment ((hiv-ve),registered tb patients screened for hiv,tb patients with hiv  receiving art,buruli ulcer patients notified,confirmed dr-tb patients enrolled for treatment,dr-tb suspects tested for dr-tb,suspects screened for tb,tb case successfully treated,tb cases (call forms) notifed,leprosy cases registered,outcome
Gokana,2014,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,21.0,52.0,4.0,6.0,17.0,4.0,0.0,7.0,5.0,25.0,4.0,28.0,0.0,0
Gokana,2015,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,216.0,65.0,4.0,35.0,65.0,28.0,0.0,20.0,5.0,181.0,37.0,110.0,0.0,0
Gokana,2016,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,1347.0,464.0,5.0,78.0,154.0,39.0,0.0,19.0,21.0,530.0,46.0,279.0,0.0,0
Gokana,2017,57558.0,13778.0,3346.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,585.0,240.0,7.0,51.0,110.0,22.0,6.0,18.0,14.0,292.0,28.0,232.0,2.0,0
Gokana,2018,74693.0,10434.0,3700.0,2.0,2.0,2.0,72.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,74693.0,10434.0,81.0,25.0,2.0,204.0,56.0,3453.0,349.0,367.0,213.0,26.0,3.0,145.0,1355.0,2236.0,1324.0,34.0,127.3,1419.0,535.0,423.0,3700.0,26.0,312.0,4.0,517.0,2846.0,1501.0,1296.0,2.0,2.0,2.0,21.0,4.0,20.0,2.0,72.0,63.0,48.0,6.0,370.0,14.0,3762.0,128.0,14249.0,3754.0,13851.0,8385.0,12869.0,13788.0,8506.0,12675.0,8566.0,12785.0,13613.0,12171.0,13433.0,499.0,12218.0,27.0,5154.0,4262.0,3310.0,2218.0,1670.0,1090.0,30024.0,27.0,4465.0,47966.0,64965.0,11601.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,87.0,25.0,1.0,20.0,77.0,2.0,311.0,131.0,3.0,94.0,273.0,14.0,82.0,21.0,8.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Gokana,2019,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,85268.0,11832.0,81.0,25.0,2.0,204.0,404.0,5347.0,642.0,89.0,604.0,4089.0,499.0,333.0,2187.0,3475.0,1780.0,468.0,148.2,1489.0,677.0,504.0,5470.0,9.0,212.0,5.0,1243.0,5062.0,3806.0,2168.0,1.0,11.0,6.0,1.0,8.0,7.0,1.0,105.0,125.0,49.0,8.0,264.0,72.0,4930.0,21.0,14064.0,4944.0,15258.0,9571.0,14372.0,15320.0,9511.0,14344.0,15173.0,9506.0,14347.0,13090.0,14112.0,811.0,13381.0,1119.0,6265.0,5128.0,4300.0,2601.0,1657.0,986.0,46927.0,3.0,4857.0,53381.0,121458.0,11146.0,2571.0,682.0,209.0,3.0,7068.0,776.0,89.0,92.0,15.0,1.0,58.0,91.0,3.0,203.0,9.0,8.0,183.0,656.0,13.0,82.0,32.0,2.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Gokana,2020,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Gokana,2021,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,3.4,377848.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Ikwerre,2013,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,106.0,30.0,3.0,11.0,14.0,1.0,0.0,7.0,1.0,78.0,13.0,12.0,0.0,0
Ikwerre,2014,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,215.0,32.0,9.0,22.0,45.0,7.0,0.0,4.0,7.0,65.0,11.0,54.0,1.0,0
Ikwerre,2015,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,12.0,7.0,1.0,10.0,2.0,6.0,0.0,0
Ikwerre,2016,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,434.0,113.0,1.0,7.0,17.0,6.0,0.0,1.0,5.0,40.0,15.0,44.0,0.0,0
Ikwerre,2017,86851.0,26687.0,6958.0,6.0,19.0,2.0,63.0,1.0,25.0,34.0,79.0,10.0,6.0,12.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,123.0,49.0,3.0,9.0,10.0,3.0,0.0,1.0,1.0,37.0,15.0,10.0,0.0,0
Ikwerre,2018,4684.0,17909.0,7679.0,34.0,83.0,15.0,626.0,21.0,8.0,18.0,26.0,1.0,5.0,8.0,84684.0,17909.0,113.0,45.0,0.0,624.0,458.0,10461.0,782.0,556.0,480.0,413.0,85.0,405.0,2310.0,6231.0,2356.0,620.0,277.0,1848.0,1684.0,2801.0,7679.0,5.0,1008.0,4.0,762.0,7524.0,1107.0,1100.0,34.0,83.0,15.0,6.0,2.0,4.0,1.0,626.0,599.0,528.0,1.0,7423.0,14.0,9187.0,64.0,13796.0,9070.0,13440.0,6869.0,12218.0,13659.0,6925.0,12556.0,7004.0,12508.0,13575.0,12063.0,12731.0,499.0,12112.0,415.0,20246.0,6902.0,7858.0,2340.0,654.0,337.0,43242.0,91.0,11675.0,57556.0,51924.0,14017.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,638.0,208.0,1.0,200.0,630.0,35.0,1326.0,56.0,47.0,161.0,1141.0,275.0,813.0,2.0,3.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,1
Ikwerre,2019,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,97800.0,18718.0,117.0,48.0,0.0,484.0,628.0,13564.0,2008.0,23.0,1010.0,1456.0,1202.0,40.0,4734.0,9674.0,3685.0,617.0,347.2,5737.0,2113.0,2756.0,13626.0,9.0,1084.0,9.0,843.0,18739.0,1960.0,1931.0,3.0,110.0,5.0,14.0,7.0,4.0,2.0,1029.0,1028.0,1005.0,7.0,8619.0,14.0,9579.0,21.0,13885.0,9587.0,14196.0,7637.0,13186.0,14193.0,7624.0,13159.0,14176.0,7643.0,13159.0,13108.0,12840.0,6574.0,13122.0,3115.0,13573.0,6316.0,7779.0,2081.0,729.0,609.0,64950.0,217.0,16156.0,62929.0,84849.0,23552.0,53.0,1.0,252.0,2.0,11675.0,311.0,36.0,501.0,283.0,1.0,737.0,1188.0,28.0,1606.0,176.0,154.0,71.0,2156.0,46.0,1802.0,40.0,11.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,1
Ikwerre,2020,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Ikwerre,2021,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,3.4,313282.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Khana,2013,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,23.0,5.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,2.0,15.0,58.0,0.0,0
Khana,2014,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,105.0,70.0,1.0,19.0,17.0,2.0,2.0,1.0,10.0,98.0,10.0,26.0,0.0,0
Khana,2015,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,8.0,5.0,3.0,1.0,53.0,14.0,0.0,7.0,10.0,1.0,15.0,10.0,0.0,0
Khana,2016,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,5171.0,234.0,1.0,42.0,72.0,11.0,0.0,2.0,31.0,50.0,8.0,23.0,0.0,0
Khana,2017,73889.0,39162.0,4599.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,30.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,5940.0,162.0,3.0,2.0,2.0,5.0,0.0,7.0,14.0,32.0,7.0,13.0,0.0,0
